Author Name	gender	title	Publication Date	Decade	Time Periode	words	sound words	sound word density	Genre
Dickens	Male	Bleak House	1853	1850-59	1850-1915	357469	920	0.26	Gothic
Trollope	Male	The Way we live now	1875	1870-79	1850-1915	354312	322	0.09	Other
Rymer	Male	Varney the Vampire	1847	1840-49	1790-1849	330930	1214	0.37	Gothic
Eliot	Female	Middlemarch	1874	1870-79	1850-1915	320175	512	0.16	Other
Dickens	Male	Sketches by Boz	1833	1830-39	1790-1849	258623	982	0.38	Other
Collins	Male	The Woman in White	1859	1850-59	1850-1915	248264	609	0.25	Gothic
Yonge	Female	The Heir of Redclyffe	1853	1850-59	1850-1915	235552	673	0.29	Other
Wood	Female	East Lynne	1861	1860-69	1850-1915	208863	578	0.28	Other
Collins	Male	The Moonstone	1868	1860-69	1850-1915	197644	342	0.17	Gothic
Meredith	Male	The Egoist	1879	1870-79	1850-1915	188883	348	0.18	Other
Brontë	Female	Jane Eyre	1847	1840-49	1790-1849	188598	604	0.32	Gothic
James	Male	The Wings of the Dove	1902	1900-1909	1850-1915	188071	253	0.13	Gothic
James	Male	The Ambassadors	1903	1900-1909	1850-1915	165025	345	0.21	Other
Corelli	Female	The Sorrows of Satan	1895	1890-99	1850-1915	164132	839	0.51	Gothic
Stoker	Male	Dracula	1897	1890-99	1850-1915	162042	658	0.41	Gothic
Braddon	Female	Lady Audley's Secret	1862	1860-69	1850-1915	150222	548	0.36	Gothic
Mitford	Female	Atherton and Other Tales	1854	1850-59	1850-1915	139777	489	0.35	Other
More	Female	Coelebs in Search of a Wife	1814	1810-19	1790-1849	136107	106	0.08	Other
James	Male	Roderick Hudson	1875	1870-79	1850-1915	132789	336	0.25	Other
Austen	Female	Sense and Sensibility	1811	1810-19	1790-1849	119949	191	0.16	Other
Brontë	Female	Wuthering Heights	1847	1840-49	1790-1849	119475	351	0.29	Gothic
Pater	Male	Marius the Epicurean	1885	1880-89	1850-1915	108273	315	0.29	Other
Morgan	Female	The wild Irish Girl	1806	1800-09	1790-1849	105775	239	0.23	Other
Inchbald	Female	A simple Story	1791	1790-1799	1790-1849	101733	168	0.17	Other
Dacre	Female	Zofloya or The Moor	1806	1800-09	1790-1849	99454	283	0.28	Gothic
Wilde	Male	The Picture of Dorian Gray	1891	1890-99	1850-1915	80396	288	0.36	Gothic
Edgeworth	Female	Ennui or Memoirs of the Earl of Glenthorn	1809	1800-09	1790-1849	79343	137	0.17	Other
Shelley	Female	Frankenstein	1818	1810-19	1790-1849	75235	254	0.34	Gothic
Wells	Male	The War of the Worlds	1898	1890-99	1850-1915	60511	527	0.87	Other
Doyle	Male	The Hound of the Baskervilles	1902	1900-1909	1850-1915	59931	125	0.21	Other
Wells	Male	The Invisible Man	1897	1890-99	1850-1915	49808	385	0.77	Other
Polidori	Male	Ernestus Berchtold	1819	1810-19	1790-1849	45203	199	0.44	Other
Wells	Male	The Island of Doctor Moreau	1896	1890-99	1850-1915	44070	363	0.82	Gothic
James	Male	The Turn of the Screw	1898	1890-99	1850-1915	42831	132	0.31	Gothic
Shelley	Female	Mathilda	1820	1820-29	1790-1849	33476	104	0.31	Gothic
Shelley	Male	Zastrozzi	1810	1810-19	1790-1849	30971	229	0.74	Gothic
Dickens	Male	A Christmas Carroll	1843	1840-49	1790-1849	29243	194	0.66	Gothic
Chesney	Male	The Battle of Dorking	1871	1870-79	1850-1915	21758	91	0.42	Other
Machen	Male	The White People	1894	1890-99	1850-1915	21740	104	0.48	Other
Lewis	Male	The Anaconda	1808	1800-09	1790-1849	18996	75	0.39	Gothic
Oliphant	Female	The Open Door	1881	1880-89	1850-1915	18763	161	0.86	Other
Machen	Male	The Great God Pan	1904	1900-1909	1850-1915	17574	71	0.4	Gothic
Kipling	Male	The Man who would be King	1888	1880-89	1850-1915	14464	47	0.32	Other
James	Male	The Jolly Corner	1908	1900-1909	1850-1915	14433	38	0.26	Other
Polidori	Male	The Vampyre	1819	1810-19	1790-1849	12739	43	0.34	Gothic
Gaskell	Female	The Old Nurse's Story	1852	1850-59	1850-1915	9805	66	0.67	Gothic
Doyle	Male	The Brazilian Cat	1898	1890-99	1850-1915	8148	65	0.8	Gothic
Crookenden	Male	The Vindictive Monk	1802	1800-09	1790-1849	7672	16	0.21	Gothic
Kipling	Male	The Mark of the Beast	1890	1890-99	1850-1915	5109	37	0.72	Gothic
JamesMR	Male	Canon Alberic's Scrap-Book	1895	1890-99	1850-1915	4716	20	0.42	Gothic
James	Male	The Mezzotint	1904	1900-1909	1850-1915	4682	0	0.0	Gothic
Byron	Male	Fragment of a novel	1819	1810-19	1790-1849	1977	1	0.05	Gothic
Doyle	Male	How it Happened	1913	1910-1919	1850-1915	1429	11	0.77	Other
