TextName,Length,SWD whole text,Window SWD,Genre,Author Name,Author Gender,Title,Date,title,Decade,Time Periode,words,sound words,sound word density (old),AnnotationType,File Name Plain Text,File Name automatically suspense annotated,File Name XML not annotated,File Name automatically sound annotated,File Name manually sound annotated or corrected dic-annotated
Dickens_Christmas_20.01,29336,6.613.035,7.266.843.301,Gothic,"Dickens, Charles",Male,A Christmas Carroll,1843,A Christmas Carroll,1840-49,1790-1849,29243,194,0.66,manual,Dickens_Christmas.txt,-,Dickens_Christmas.xml,-,Dickens_Christmas_20.01.xml
381Inchbald1791_pre,94981,1.758.246,232.875.748,Other,"Inchbald, Elizabeth",Female,A simple Story,1791,A simple Story,1790-1799,1790-1849,101733,168,0.17,automated,381Inchbald1791.txt,381Inchbald1791_autotagged.txt,381Inchbald1791.xml,381Inchbald1791_pre.xml,-
551Mitford1854_pre,129605,3.757.571,4.523.248.035,Other,"Mitford, Mary Russell",Female,Atherton and Other Tales,1854,Atherton and Other Tales,1850-59,1850-1915,139777,489,0.35,automated,551Mitford1854.txt,551Mitford1854_autotagged.txt,551Mitford1854.xml,551Mitford1854_pre.xml,-
361Dickens1853_pre,348079,2.637.332,3.147.850.596,Gothic,"Dickens, Charles",Male,Bleak House,1853,Bleak House,1850-59,1850-1915,357469,920,0.26,automated,361Dickens1853.txt,361Dickens1853_autotagged_double.txt,361Dickens1853.xml,361Dickens1853_pre.xml,-
741JamesMR1895_20.01,4768,4.194.631,6.655.749.636,Gothic,"James, Montague Rhodes",Male,Canon Alberic's Scrap-Book,1895,Canon Alberic's Scrap-Book,1890-99,1850-1915,4716,20,0.42,manual,741JamesMR1895.txt,-,741JamesMR1895.xml,-,741JamesMR1895_20.01.xml
561More1814_pre,130606,811.601,1.920.992.125,Other,"More, Hannah",Female,Coelebs in Search of a Wife,1814,Coelebs in Search of a Wife,1810-19,1790-1849,136107,106,0.08,automated,561More1814.txt,561More1814_autotagged.txt,561More1814.xml,561More1814_pre.xml,-
1311Stoker1897_pre,159432,4.127.151,4.746.918.319,Gothic,"Stoker, Bram",Male,Dracula,1897,Dracula,1890-99,1850-1915,162042,658,0.41,automated,1311Stoker1897.txt,1311Stoker1897_autotagged.txt,1311Stoker1897.xml,1311Stoker1897_pre.xml,1311Stoker1897_pre.xml
1411Wood1861_pre,202620,2.852.631,3.426.289.293,Other,"Wood, Ellen",Female,East Lynne,1861,East Lynne,1860-69,1850-1915,208863,578,0.28,automated,1411Wood1861.txt,1411Wood1861_autotagged.txt,1411Wood1861.xml,1411Wood1861_pre.xml,-
251Edgeworth1809_pre,74260,1.831.403,2.510.181.896,Other,"Edgeworth, Maria",Female,Ennui or Memoirs of the Earl of Glenthorn,1809,Ennui or Memoirs of the Earl of Glenthorn,1800-09,1790-1849,79343,137,0.17,automated,251Edgeworth1809.txt,251Edgeworth1809_autotagged.txt,251Edgeworth1809.xml,251Edgeworth1809_pre.xml,-
1091Polidori1819_pre,45092,44.132,466.660.323,Other,"Polidori, John William",Male,Ernestus Berchtold,1819,Ernestus Berchtold,1810-19,1790-1849,45203,199,0.44,automated,1091Polidori1819.txt,1091Polidori1819_autotagged.txt,1091Polidori1819.xml,1091Polidori1819_pre.xml,-
181Byron1819_anno_20.01,2017,495.786,1,Gothic,"Byron, Lord George",Male,Fragment of a novel,1819,Fragment of a novel,1810-19,1790-1849,1977,1,0.05,manual,181Byron1819.txt,181Byron1819_autotagged.txt,181Byron1819.xml,-,181Byron1819_anno_20.01.xml
Shelley_31_12_20.01.,75298,3.373.264,521.707.192,Gothic,"Shelley, Mary",Female,Frankenstein,1818,Frankenstein,1810-19,1790-1849,75235,254,0.34,manual,1221Shelley1818.txt,1221Shelley1818_autotagged.txt,1221Shelley1818.xml,-,Shelley_31_12_20.01.xml
Doyle_How_it_20.01.,1454,7.565.337,9.145.695.364,Other,"Doyle, Arthur Conan",Male,How it Happened,1913,How it Happened,1910-1919,1850-1915,1429,11,0.77,manual,Conan_Doyle_How_it_happened1913.txt,-,Conan_Doyle_How_it_happened1913.xml,-,Doyle_How_it_20.01.xml
131Bronte1847_for_dic23.01,198914,3.026.434,4.079.372.285,Gothic,"Brontë, Charlotte",Female,Jane Eyre,1847,Jane Eyre,1840-49,1790-1849,188598,604,0.32,dictionary_based,131Bronte1847.txt,131Bronte1847_autotagged_double.txt,131Bronte1847.xml,-,131Bronte1847_for_dic23.01.xml
211Craik1857_pre,170315,450.342,4.707.111.785,Other,"Craik, Dinah",Female,"John Halifax, Gentleman",1857,,1850-59,1850-1915,180355,768,0.43,automated,211Craik1857.txt,211Craik1857_autotagged.txt,211Craik1857.xml,211Craik1857_pre.xml,-
111Braddon1862_pre,139048,391.951,4.210.837.562,Gothic,"Braddon, Mary Elizabeth",Female,Lady Audley's Secret,1862,Lady Audley's Secret,1860-69,1850-1915,150222,548,0.36,automated,111Braddon1862.txt,111Braddon1862_autotagged_double.txt,111Braddon1862.xml,111Braddon1862_pre.xml,-
601Pater1885_pre,104929,2.973.439,3.657.528.265,Other,"Pater, Walter",Male,Marius the Epicurean,1885,Marius the Epicurean,1880-89,1850-1915,108273,315,0.29,automated,601Pater1885.txt,601Pater1885_autotagged.txt,601Pater1885.xml,601Pater1885_pre.xml,-
